Region,Year,Quarter,Emissions,Hazard Type,Minor Expectation,Medium Expectation,Major Expectation
1,2020,1,High,Heat,0,0,0
1,2021,1,High,Heat,0,0,0
1,2022,1,High,Heat,0,0,0
1,2023,1,High,Heat,0,0,0
1,2024,1,High,Heat,0,0,0
1,2025,1,High,Heat,0,0,0
1,2026,1,High,Heat,0,0,0
1,2027,1,High,Heat,0,0,0
1,2028,1,High,Heat,0,0,0
1,2029,1,High,Heat,0,0,0
1,2030,1,High,Heat,0,0,0
1,2031,1,High,Heat,0,0,0
1,2032,1,High,Heat,0,0,0
1,2033,1,High,Heat,0,0,0
1,2034,1,High,Heat,0,0,0
1,2035,1,High,Heat,0,0,0
1,2036,1,High,Heat,0,0,0
1,2037,1,High,Heat,0,0,0
1,2038,1,High,Heat,0,0,0
1,2039,1,High,Heat,0,0,0
1,2040,1,High,Heat,0,0,0
1,2041,1,High,Heat,0,0,0
1,2042,1,High,Heat,0,0,0
1,2043,1,High,Heat,0,0,0
1,2044,1,High,Heat,0,0,0
1,2045,1,High,Heat,0,0,0
1,2046,1,High,Heat,0,0,0
1,2047,1,High,Heat,0,0,0
1,2048,1,High,Heat,0,0,0
1,2049,1,High,Heat,0,0,0
1,2050,1,High,Heat,0,0,0
1,2051,1,High,Heat,0,0,0
1,2052,1,High,Heat,0,0,0
1,2053,1,High,Heat,0,0,0
1,2054,1,High,Heat,0,0,0
1,2055,1,High,Heat,0,0,0
1,2056,1,High,Heat,0,0,0
1,2057,1,High,Heat,0,0,0
1,2058,1,High,Heat,0,0,0
1,2059,1,High,Heat,0,0,0
1,2060,1,High,Heat,0,0,0
1,2061,1,High,Heat,0,0,0
1,2062,1,High,Heat,0,0,0
1,2063,1,High,Heat,0,0,0
1,2064,1,High,Heat,0,0,0
1,2065,1,High,Heat,0,0,0
1,2066,1,High,Heat,0,0,0
1,2067,1,High,Heat,0,0,0
1,2068,1,High,Heat,0,0,0
1,2069,1,High,Heat,0,0,0
1,2070,1,High,Heat,0,0,0
1,2071,1,High,Heat,0,0,0
1,2072,1,High,Heat,0,0,0
1,2073,1,High,Heat,0,0,0
1,2074,1,High,Heat,0,0,0
1,2075,1,High,Heat,0,0,0
1,2076,1,High,Heat,0,0,0
1,2077,1,High,Heat,0,0,0
1,2078,1,High,Heat,0,0,0
1,2079,1,High,Heat,0,0,0
1,2080,1,High,Heat,0,0,0
1,2081,1,High,Heat,0,0,0
1,2082,1,High,Heat,0,0,0
1,2083,1,High,Heat,0,0,0
1,2084,1,High,Heat,0,0,0
1,2085,1,High,Heat,0,0,0
1,2086,1,High,Heat,0,0,0
1,2087,1,High,Heat,0,0,0
1,2088,1,High,Heat,0,0,0
1,2089,1,High,Heat,0,0,0
1,2090,1,High,Heat,0,0,0
1,2091,1,High,Heat,0,0,0
1,2092,1,High,Heat,0,0,0
1,2093,1,High,Heat,0,0,0
1,2094,1,High,Heat,0,0,0
1,2095,1,High,Heat,0,0,0
1,2096,1,High,Heat,0,0,0
1,2097,1,High,Heat,0,0,0
1,2098,1,High,Heat,0,0,0
1,2099,1,High,Heat,0,0,0
1,2100,1,High,Heat,0,0,0
1,2101,1,High,Heat,0,0,0
1,2102,1,High,Heat,0,0,0
1,2103,1,High,Heat,0,0,0
1,2104,1,High,Heat,0,0,0
1,2105,1,High,Heat,0,0,0
1,2106,1,High,Heat,0,0,0
1,2107,1,High,Heat,0,0,0
1,2108,1,High,Heat,0,0,0
1,2109,1,High,Heat,0,0,0
1,2110,1,High,Heat,0,0,0
1,2111,1,High,Heat,0,0,0
1,2112,1,High,Heat,0,0,0
1,2113,1,High,Heat,0,0,0
1,2114,1,High,Heat,0,0,0
1,2115,1,High,Heat,0,0,0
1,2116,1,High,Heat,0,0,0
1,2117,1,High,Heat,0,0,0
1,2118,1,High,Heat,0,0,0
1,2119,1,High,Heat,0,0,0
1,2120,1,High,Heat,0,0,0
1,2121,1,High,Heat,0,0,0
1,2122,1,High,Heat,0,0,0
1,2123,1,High,Heat,0,0,0
1,2124,1,High,Heat,0,0,0
1,2125,1,High,Heat,0,0,0
1,2126,1,High,Heat,0,0,0
1,2127,1,High,Heat,0,0,0
1,2128,1,High,Heat,0,0,0
1,2129,1,High,Heat,0,0,0
