Year,Quarter,Region,Low Emissions,Medium Emissions,High Emissions,Very High Emissions,,,,
2020,1,1,"$2,557,675.33","$2,556,056.53","$2,507,560.83","$2,523,753.55",,,,
2020,1,2,"$7,376,432.33","$6,367,133.72","$4,736,030.76","$5,625,439.63",,,,
2020,1,3,"$358,834.34","$319,968.83","$350,491.73","$354,218.71",,,,
2020,1,4,"$351,340.25","$396,096.03","$400,744.83","$386,543.25",,,,
2020,1,5,"$5,383,167.11","$5,946,134.92","$4,209,561.01","$4,880,219.92",,,,
2020,1,6,"$6,117,473.59","$8,725,809.34","$6,139,656.20","$5,755,641.69",,,,
2020,2,1,"$2,307,050.52","$2,304,272.04","$2,453,224.17","$2,373,694.10",,,,
2020,2,2,"$8,054,895.08","$8,766,660.34","$9,848,270.67","$11,654,283.45",,,,
2020,2,3,"$1,130,600.07","$1,113,677.24","$1,124,019.90","$1,122,027.95",,,,
2020,2,4,"$813,273.07","$794,303.98","$786,796.35","$765,851.34",,,,
2020,2,5,"$6,703,322.80","$5,871,145.98","$7,340,256.69","$6,965,558.05",,,,
2020,2,6,"$7,215,136.38","$7,267,565.22","$9,892,720.61","$9,257,314.22",,,,
2020,3,1,"$103,935,205.05","$102,546,815.56","$141,977,121.84","$171,019,408.32",,,,
2020,3,2,"$86,322,206.76","$73,988,418.35","$79,075,601.30","$94,019,474.28",,,,
2020,3,3,"$44,723,418.82","$35,889,154.56","$36,290,821.27","$30,020,146.28",,,,
2020,3,4,"$67,492,627.37","$54,679,924.15","$38,705,139.22","$53,976,741.30",,,,
2020,3,5,"$62,782,720.91","$75,854,336.97","$70,774,385.45","$93,187,166.05",,,,
2020,3,6,"$64,451,419.56","$84,406,673.11","$99,907,572.83","$78,179,174.08",,,,
2020,4,1,"$5,227,926.74","$5,439,179.00","$5,358,976.37","$5,446,820.01",,,,
2020,4,2,"$6,899,925.61","$6,636,205.25","$6,859,403.18","$6,861,377.31",,,,
2020,4,3,"$4,370,453.45","$4,503,515.86","$4,471,067.01","$4,336,205.99",,,,
2020,4,4,"$1,114,011.72","$1,064,365.34","$1,038,415.65","$1,080,772.23",,,,
2020,4,5,"$942,769.01","$888,790.31","$904,980.23","$982,088.43",,,,
2020,4,6,"$913,968.83","$909,205.32","$901,874.25","$921,972.31",,,,
2021,1,1,"$2,434,824.70","$2,484,921.51","$2,411,497.13","$2,633,000.03",,,,
2021,1,2,"$7,197,801.90","$5,863,379.76","$6,227,257.02","$7,204,229.17",,,,
2021,1,3,"$325,986.74","$306,212.54","$333,839.38","$319,661.06",,,,
2021,1,4,"$363,393.80","$392,854.32","$403,346.58","$381,409.56",,,,
2021,1,5,"$3,478,357.36","$5,653,559.38","$4,137,794.47","$4,015,192.61",,,,
2021,1,6,"$9,198,591.95","$6,511,706.79","$4,918,917.57","$7,559,211.11",,,,
2021,2,1,"$2,318,605.40","$2,341,302.15","$2,381,176.65","$2,306,685.85",,,,
2021,2,2,"$9,313,666.26","$8,108,501.53","$9,250,208.17","$8,391,226.33",,,,
2021,2,3,"$1,126,083.40","$1,131,131.45","$1,128,505.16","$1,141,899.09",,,,
2021,2,4,"$818,097.92","$801,828.07","$774,238.36","$816,748.33",,,,
2021,2,5,"$6,889,599.02","$7,323,239.42","$7,512,881.25","$6,744,422.78",,,,
2021,2,6,"$12,435,340.93","$6,484,592.37","$9,729,917.39","$9,528,179.92",,,,
2021,3,1,"$165,955,133.12","$142,350,175.66","$106,798,522.60","$156,107,888.25",,,,
2021,3,2,"$98,989,798.62","$80,066,157.18","$60,640,125.58","$79,679,037.98",,,,
2021,3,3,"$32,658,377.05","$43,723,627.92","$32,389,582.35","$48,388,031.19",,,,
2021,3,4,"$70,297,027.26","$44,538,294.98","$58,146,508.30","$54,780,830.91",,,,
2021,3,5,"$92,245,885.42","$74,363,391.85","$59,095,154.92","$81,597,840.23",,,,
2021,3,6,"$71,471,085.05","$85,688,528.58","$85,844,689.24","$80,310,127.45",,,,
2021,4,1,"$5,272,300.17","$5,015,450.45","$5,118,618.28","$5,351,493.16",,,,
2021,4,2,"$6,803,216.34","$6,433,443.34","$6,553,076.90","$6,024,333.71",,,,
2021,4,3,"$3,978,372.90","$4,510,916.60","$4,581,787.37","$4,525,586.20",,,,
2021,4,4,"$1,070,914.98","$1,031,639.81","$1,172,395.25","$1,040,454.66",,,,
2021,4,5,"$923,558.64","$923,178.08","$939,847.09","$987,721.98",,,,
2021,4,6,"$968,788.45","$840,770.97","$944,041.07","$853,270.30",,,,
2022,1,1,"$2,477,846.41","$2,486,661.41","$2,699,314.18","$2,612,733.71",,,,
2022,1,2,"$4,557,306.03","$6,286,104.36","$6,526,184.12","$7,989,055.97",,,,
2022,1,3,"$362,590.96","$319,625.40","$330,570.52","$365,711.67",,,,
2022,1,4,"$395,556.17","$381,198.28","$377,245.40","$417,886.69",,,,
2022,1,5,"$5,540,771.63","$5,594,017.33","$4,866,221.85","$9,001,048.38",,,,
2022,1,6,"$6,837,525.47","$6,622,972.30","$6,263,918.08","$6,641,736.17",,,,
2022,2,1,"$2,447,851.62","$2,412,490.03","$2,345,253.84","$2,383,481.47",,,,
2022,2,2,"$8,990,605.39","$7,977,555.76","$10,278,220.27","$10,989,836.19",,,,
2022,2,3,"$1,137,201.10","$1,132,875.88","$1,165,827.76","$1,160,067.22",,,,
2022,2,4,"$835,051.17","$804,756.50","$813,425.92","$840,864.18",,,,
2022,2,5,"$6,716,875.20","$6,346,974.24","$5,295,373.29","$7,020,963.95",,,,
2022,2,6,"$8,129,807.49","$8,787,257.17","$6,116,457.16","$6,459,724.72",,,,
2022,3,1,"$145,351,662.49","$181,065,229.79","$160,273,744.15","$150,793,006.37",,,,
2022,3,2,"$95,162,707.69","$87,973,384.90","$83,495,007.32","$92,790,824.34",,,,
2022,3,3,"$47,745,706.06","$37,116,582.13","$43,939,781.86","$44,466,853.81",,,,
2022,3,4,"$43,879,352.79","$39,366,448.98","$62,697,986.05","$53,815,116.97",,,,
2022,3,5,"$89,013,729.40","$76,722,130.18","$61,471,480.95","$50,600,424.31",,,,
2022,3,6,"$103,782,542.19","$79,282,636.36","$91,946,575.93","$92,345,939.35",,,,
2022,4,1,"$5,053,961.08","$5,059,121.98","$5,317,454.97","$5,379,724.89",,,,
2022,4,2,"$6,445,649.13","$6,230,222.54","$6,742,020.55","$6,406,306.62",,,,
