Year,Quarter,Region,Low Emissions,Medium Emissions,High Emissions,Very High Emissions
2020,1,1,"$1,250,091,326.92","$1,250,090,355.09","$1,250,031,767.76","$1,250,080,051.42"
2020,1,2,"$1,164,955,429.78","$1,164,457,566.08","$1,163,270,179.25","$1,164,059,991.34"
2020,1,3,"$740,152,618.74","$740,124,539.11","$740,148,575.84","$740,151,020.16"
2020,1,4,"$102,258,489.25","$102,290,178.56","$102,294,155.24","$102,281,204.66"
2020,1,5,"$149,861,692.08","$150,379,760.72","$149,191,352.70","$149,463,012.26"
2020,1,6,"$49,439,480.59","$51,153,611.40","$49,554,915.34","$49,095,756.11"
2020,2,1,"$1,193,086,099.72","$1,193,091,568.14","$1,193,204,770.41","$1,193,161,590.60"
2020,2,2,"$1,111,362,520.69","$1,111,813,543.94","$1,112,575,718.75","$1,113,344,971.00"
2020,2,3,"$710,168,150.08","$710,155,830.73","$710,160,171.45","$710,160,751.71"
2020,2,4,"$98,239,534.07","$98,220,391.74","$98,221,812.21","$98,201,980.58"
2020,2,5,"$144,565,855.44","$143,848,221.27","$144,602,896.34","$144,315,893.68"
2020,2,6,"$47,963,537.66","$48,209,138.18","$49,659,879.27","$49,057,920.80"
2020,3,1,"$1,198,794,706.00","$1,195,302,474.11","$1,218,110,753.32","$1,232,641,712.81"
2020,3,2,"$1,103,267,623.13","$1,094,642,950.87","$1,096,934,775.26","$1,109,143,964.92"
2020,3,3,"$699,598,949.03","$693,462,416.41","$693,374,993.42","$689,665,075.80"
2020,3,4,"$135,934,599.31","$127,114,363.95","$118,658,039.64","$125,193,984.52"
2020,3,5,"$174,324,098.21","$179,369,539.83","$176,567,153.68","$189,886,793.45"
2020,3,6,"$82,824,118.38","$93,145,336.92","$102,282,502.17","$88,895,515.76"
2020,4,1,"$1,074,724,890.53","$1,074,832,885.81","$1,074,858,753.85","$1,074,809,907.75"
2020,4,2,"$999,505,093.05","$999,435,983.83","$999,561,701.86","$999,520,111.03"
2020,4,3,"$638,425,471.40","$638,484,487.20","$638,496,722.00","$638,410,754.54"
2020,4,4,"$88,329,379.42","$88,304,882.63","$88,290,174.48","$88,313,486.97"
2020,4,5,"$126,010,018.64","$125,958,582.36","$125,986,584.48","$126,046,651.53"
2020,4,6,"$39,312,859.20","$39,299,216.17","$39,276,454.17","$39,274,294.92"
2021,1,1,"$916,991,168.76","$917,022,071.62","$916,972,118.74","$917,106,352.65"
2021,1,2,"$854,988,375.92","$853,997,910.42","$854,509,622.65","$854,742,350.48"
2021,1,3,"$543,153,945.49","$543,140,960.03","$543,152,901.64","$543,147,110.50"
2021,1,4,"$75,061,122.69","$75,071,681.82","$75,082,414.99","$75,070,029.19"
2021,1,5,"$109,040,468.88","$110,676,946.96","$109,666,217.86","$109,427,636.63"
2021,1,6,"$38,390,316.67","$36,960,385.13","$36,033,623.44","$37,974,123.22"
2021,2,1,"$874,728,188.52","$874,748,329.42","$874,775,412.12","$874,740,273.30"
2021,2,2,"$816,701,398.63","$816,673,582.04","$817,697,190.99","$816,640,194.01"
2021,2,3,"$518,080,906.89","$518,079,240.46","$518,080,800.15","$518,085,814.24"
2021,2,4,"$71,828,097.40","$71,814,493.27","$71,803,157.72","$71,813,080.04"
2021,2,5,"$105,779,638.71","$106,474,665.61","$106,542,862.86","$106,020,183.84"
2021,2,6,"$39,030,816.38","$35,377,889.06","$37,572,666.71","$36,950,353.47"
2021,3,1,"$916,958,631.04","$902,632,761.25","$885,997,314.10","$911,311,146.51"
2021,3,2,"$825,678,088.59","$814,089,294.50","$807,172,128.19","$816,282,575.84"
2021,3,3,"$509,126,863.02","$514,253,686.66","$509,429,493.85","$516,937,551.38"
2021,3,4,"$103,842,787.99","$92,481,499.48","$99,542,688.98","$96,433,490.63"
2021,3,5,"$141,782,733.69","$136,006,816.24","$128,543,660.59","$136,674,348.98"
2021,3,6,"$66,464,579.33","$74,202,934.07","$72,595,234.67","$74,843,358.59"
