Region,Hazard Event,Quarter,Year,Duration,Fatalities,Injuries,Property Damage
1,Winter Weather,1,1999,2,0,0,"30,432,669"
2,Severe Storm/Thunder Storm/ Wind,1,1999,1,0,21,"2,828,393"
3,Lightning,2,1999,1,0,35,0
1,Lightning,2,1999,1,0,0,"292,374"
1,Severe Storm/Thunder Storm/ Wind,2,1999,1,0,0,"79,022"
1,Hail,2,1999,1,0,0,"73,537"
2,Flooding,2,1999,1,0,0,"410,606"
1,Severe Storm/Thunder Storm/ Wind,3,1999,1,0,0,"154,572"
4,Hail,3,1999,1,0,0,"8,282"
2,Heat,3,1999,12,0,175,0
1,Heat,3,1999,6,16,0,0
1,Severe Storm/Thunder Storm/ Wind,3,1999,1,0,0,"1,006,887"
2,Lightning,3,1999,1,0,12,0
5,Severe Storm/Thunder Storm/ Wind,3,1999,1,0,0,"12,000,604"
1,Flooding,3,1997,1,0,0,"1,678,568"
2,Hail,2,1997,1,0,0,0
4,Lightning,3,1997,1,0,0,"4,648,123"
5,Lightning,3,1997,1,0,0,"3,360,901"
1,Winter Weather,1,1997,1,0,0,"594,132"
1,Wind,2,1997,1,0,68,"44,940"
2,Severe Storm/Thunder Storm/ Wind,4,1997,1,0,0,"75,582"
2,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,25,"8,266,818"
4,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,49,"487,401"
4,Severe Storm/Thunder Storm/ Wind,2,1997,1,0,49,0
3,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,0,"313,904"
3,Severe Storm/Thunder Storm/ Wind,2,1997,1,0,10,"287,238"
3,Severe Storm/Thunder Storm/ Wind,4,1997,1,0,0,"34,138"
3,Severe Storm/Thunder Storm/ Wind,1,1997,1,0,0,"86,147"
5,Severe Storm/Thunder Storm/ Wind,2,1997,1,0,0,"748,293"
1,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,0,"80,773"
1,Severe Storm/Thunder Storm/ Wind,3,1997,1,0,0,"376,247"
1,Severe Storm/Thunder Storm/ Wind,1,1996,1,0,0,"232,643"
1,Severe Storm/Thunder Storm/ Wind,1,1996,1,0,0,"6,042,782"
1,Severe Storm/Thunder Storm/ Wind,1,1996,1,0,0,"241,536"
1,Severe Storm/Thunder Storm/ Wind,2,1996,1,0,0,"248,075"
1,Severe Storm/Thunder Storm/ Wind,2,1996,1,0,0,"162,165"
1,Severe Storm/Thunder Storm/ Wind,2,1996,1,0,0,"74,623"
1,Severe Storm/Thunder Storm/ Wind,3,1996,1,0,0,"217,806"
1,Severe Storm/Thunder Storm/ Wind,3,1996,1,0,0,"314,408"
1,Severe Storm/Thunder Storm/ Wind,3,1996,1,0,0,"173,072"
1,Severe Storm/Thunder Storm/ Wind,3,1996,1,0,0,"305,848"
1,Winter Weather,1,1996,1,23,0,0
2,Severe Storm/Thunder Storm/ Wind,1,1996,1,0,0,"8,658"
2,Flooding,3,1996,1,0,0,"2,882,844"
2,Hurricane/Tropical Storm,3,1996,1,0,0,"13,037,192"
2,Lightning,3,1996,1,0,0,"167,761"
